Season,Name,Team,IP,ERA,K/BB,AVG,WHIP,BABIP,LOB%,FIP,LD%,GB%,FB%,IFFB%,HR/FB,xFIP,SwStr%,K%,BB%,K-BB%,SIERA,E-F,FA-Z (sc),Barrel%,HardHit%,xERA,Stf+ FA,Stuff+,Location+,Pitching+,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2021,Shane Bieber,CLE,96.2,3.165517325,4.06060606,0.22826087,1.210344859,0.32735426,0.80492424,3.025206532,0.239316239,0.44017094,0.32051282,0.106666666,0.146666666,2.914797835,0.16164208,0.3308642,0.08148148,0.24938272,3.206546514,0.140310792,10.63924124,0.08974359,0.43162393,,84.41768953,107.8729032,101.7175484,103.8349032,0.35730088,0.64274809,0.47722899,0.43653251,0.83372922,0.66129032,0.42014112,0.17382938,0.33547146,Shane Bieber,19427,669456
2019,Chris Sale,BOS,147.1,4.398189742,5.89189189,0.21886121,1.085972776,0.309375,0.66714491,3.390480052,0.211143695,0.428152492,0.360703812,0.089430894,0.195121951,2.933504903,0.14233577,0.35620915,0.06045752,0.29575163,2.999147223,1.00770969,6.904754742,0.07848837,0.36337209,,,,,,0.35121234,0.62137681,0.47221095,0.56485356,0.79154519,0.69845361,0.44787018,0.19140308,0.33373885,Chris Sale,10603,519242
2023,Tyler Glasnow,TBR,120,3.525,4.37837838,0.208053691,1.083333333,0.294117647,0.70035461,2.913373693,0.171929824,0.512280701,0.315789473,0.044444444,0.144444444,2.745054175,0.16447714,0.33402062,0.07628866,0.25773196,3.075800837,0.611626307,9.959660457,0.11578947,0.44561404,,128.2566545,121.126452,100.6891235,108.6686906,0.32398453,0.67674419,0.48416051,0.37313433,0.82302405,0.65866957,0.45406547,0.16920652,0.33368366,Tyler Glasnow,14374,607192
2020,Dinelson Lamet,SDP,69,2.086956291,4.65,0.160493827,0.855072369,0.234482759,0.80357143,2.481274466,0.208053691,0.369127516,0.422818791,0.047619047,0.079365079,3.299850429,0.14340344,0.34831461,0.07490637,0.27340824,3.158591915,-0.394318175,10.19309458,0.07333333,0.4,,120.1002564,134.4908046,101.2649425,108.5316092,0.32409012,0.65458422,0.47227533,0.48663102,0.82410423,0.69635628,0.44837476,0.19024857,0.33365201,Dinelson Lamet,17186,659275
2019,Tyler Glasnow,TBR,60.2,1.780219967,5.42857143,0.185185185,0.890109983,0.264705882,0.84710744,2.257965419,0.158273381,0.503597122,0.338129496,0.085106382,0.085106382,2.941910707,0.11960133,0.33043478,0.06086957,0.26956522,3.178557726,-0.477745453,9.218032887,0.05,0.32142857,,,,,,0.2962963,0.59952038,0.43632337,0.54166667,0.832,0.72588832,0.46179402,0.21151717,0.33111849,Tyler Glasnow,14374,607192
2019,Mike Clevinger,CLE,126,2.71428555,4.56756757,0.208695652,1.055555492,0.306049822,0.80165289,2.491787297,0.235294117,0.408304498,0.356401384,0.097087378,0.097087378,3.086138101,0.15215311,0.33867735,0.0741483,0.26452906,3.313962341,0.222498253,10.14085106,0.05498282,0.34020619,,,,,,0.31523501,0.66004673,0.45645933,0.52956298,0.76106195,0.66666667,0.40956938,0.17703349,0.3291866,Mike Clevinger,12808,605182
2019,Blake Snell,TBR,107,4.289719932,3.675,0.24,1.271028128,0.343096234,0.71550256,3.316813221,0.247011952,0.390438247,0.3625498,0.142857142,0.153846153,3.307633176,0.17715494,0.33333333,0.09070295,0.24263039,3.56252071,0.972906711,11.29265356,0.0513834,0.3201581,,,,,,0.36948854,0.667107,0.48863035,0.44391408,0.7980198,0.63744589,0.40031729,0.15177155,0.32892649,Blake Snell,13543,605483
2019,Max Scherzer,WSN,172.1,2.924564883,7.36363636,0.220520674,1.027079334,0.321428571,0.78715365,2.448052006,0.211302211,0.407862407,0.38083538,0.077419354,0.116129032,2.879349379,0.16353791,0.35064935,0.04761905,0.3030303,2.931383188,0.476512877,8.030967445,0.06341463,0.35365854,,,,,,0.35411141,0.72266244,0.52202166,0.52434457,0.78179825,0.68672199,0.45559567,0.16534296,0.32888087,Max Scherzer,3137,453286
2020,Aaron Nola,PHI,71.1,3.280374066,4.17391304,0.204545455,1.079439329,0.283018868,0.72289157,3.191419315,0.22754491,0.497005988,0.275449101,0.086956521,0.195652173,2.794703754,0.13501742,0.33217993,0.07958478,0.25259516,3.246113159,0.08895475,7.825890241,0.05357143,0.38095238,,108.9610714,116.8550131,105.5934612,105.8847428,0.38121547,0.62264151,0.47038328,0.59057971,0.84090909,0.71296296,0.36933798,0.19337979,0.32839721,Aaron Nola,16149,605400
2022,Shane McClanahan,TBR,166.1,2.54308625,5.10526316,0.193333333,0.925851732,0.250645995,0.80521472,3.004214565,0.196517412,0.502487562,0.300995024,0.074380165,0.157024793,2.596146604,0.15509541,0.30265211,0.05928237,0.24336974,2.815997288,-0.461128315,10.62888732,0.06403941,0.32512315,,107.2947548,112.8146341,102.3291057,106.6179675,0.35035971,0.68190299,0.49471974,0.52361396,0.79480164,0.6863711,0.43541836,0.1725538,0.32764921,Shane McClanahan,21483,663556
